f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
16.9871,9.3188,19.9176,17.6355,5.9355,0.9676,5.2971,14.6081,15.6943,16.6226,14.9376
12.9595,5.0450,21.8123,8.8259,10.4904,1.6076,4.0632,9.8081,11.0115,14.7250,11.9682
14.5877,13.7210,13.9926,12.4801,12.0555,3.9573,4.1893,7.0846,10.6336,6.6834,18.4501
9.8521,12.0685,15.3626,11.5108,11.2877,3.0823,4.8104,8.8684,9.9367,17.2708,9.1123
7.4250,11.8491,7.7331,4.1069,17.1093,1.8660,3.9212,8.1613,11.5704,9.0501,18.8264
21.0446,8.5209,20.6547,4.0337,16.4347,2.3625,4.3219,7.8358,10.8235,9.5096,18.2225
9.7907,10.1268,7.7291,13.0068,11.2065,2.5649,2.5950,11.0821,9.3857,14.6543,11.1937
7.2722,13.2850,9.5541,5.6499,15.9426,3.3058,2.8032,8.2526,12.5514,9.6899,19.9654
30.9474,6.6976,20.5543,6.1829,16.9277,3.7307,0.7339,9.1604,11.9651,8.2372,20.3865
9.4590,13.6290,6.2884,17.6936,6.0911,1.0951,4.0539,8.9847,12.1362,7.4449,13.7560
8.4376,11.6969,8.2295,15.6410,1.1982,2.6094,5.5267,21.0038,8.4216,20.9749,15.6612
9.4193,12.3149,9.7057,4.4548,14.1817,3.2769,4.3331,8.4074,11.0451,6.1220,22.7490
29.2615,8.5771,20.4335,14.8998,6.7420,2.5175,3.0436,13.5662,6.0324,19.5791,5.9842
23.3313,9.3457,21.4227,12.6488,10.6323,3.6845,4.1397,9.5169,12.3413,8.0471,19.9456
29.2406,5.6311,19.6925,1.3876,14.9203,0.0178,3.5004,8.7130,13.9813,6.3908,20.0316
8.2946,13.9594,6.3400,16.9561,5.4012,2.0704,0.2867,28.6253,9.6871,20.1903,28.3776
27.6936,7.1019,21.8989,15.3261,7.3634,2.5427,1.4445,7.1216,11.2490,6.7127,12.9326
13.4810,13.8742,17.7551,14.3501,5.7711,1.9054,4.4924,6.3006,10.9858,9.4700,11.1597
15.1631,4.0354,21.0970,6.5622,17.7663,3.2844,5.3844,6.0371,12.4989,8.7683,17.5440
8.7655,11.2696,6.7863,1.3723,15.4256,1.6074,4.0869,14.5987,7.1269,19.6998,14.0626
31.2310,8.8340,19.3838,6.0346,14.4745,3.8463,0.3079,6.4366,11.4808,6.7205,17.3252
8.5077,13.8313,9.8419,13.4467,8.5213,3.4376,1.6595,30.1398,7.0328,21.5746,32.1937
8.0280,11.9795,9.4265,14.0289,9.2387,3.0388,1.6554,6.5230,12.7441,9.7133,11.9748
13.6859,8.7041,12.7155,10.6736,7.6177,2.6072,5.2858,31.1868,8.3576,20.3100,34.4280
11.4875,8.9157,12.6426,14.4946,6.7829,3.1740,5.1319,16.6081,8.1202,21.6300,10.8738
9.5591,11.8138,6.1022,17.9254,6.4032,2.6393,5.4324,8.8716,11.2812,9.8488,11.6197
14.7794,11.0003,16.6047,7.6298,13.7133,2.5799,3.0336,6.6077,12.3714,7.9897,17.4618
14.9569,9.7201,14.0190,10.7632,12.9394,2.4079,5.4643,8.7238,10.5944,17.5990,7.2974
13.8875,8.6053,19.1429,17.0302,1.9948,2.9824,3.6369,12.3476,8.9193,19.2209,6.1337
18.6765,6.8358,21.5142,18.9357,2.8581,2.7570,0.8753,15.7429,9.7915,21.7623,7.3609
25.8269,5.2801,19.2779,12.4506,8.6685,1.9166,3.0509,7.1163,10.4762,9.0235,9.9958
31.1198,6.2864,21.1033,4.8615,16.5678,1.4227,5.8877,8.6268,10.3995,7.4761,18.5816
21.9848,5.4588,19.1526,6.1321,10.3604,3.3987,2.4869,20.9174,6.7609,19.6632,21.2521
31.1579,9.4297,20.2353,2.5895,16.6019,3.2475,1.9108,8.9334,13.8803,6.0298,24.6215
9.0332,12.6077,9.0463,15.3537,12.2049,3.5972,5.6354,22.2968,7.1623,20.6786,22.4244
9.9943,12.9346,6.5295,12.9199,6.1469,1.2103,5.8908,7.3913,12.9730,6.8737,13.8804
13.3578,15.1925,17.5552,15.3560,4.2196,2.0135,2.8606,15.3420,8.9978,20.2516,11.2887
9.7901,10.7920,8.7182,2.2482,16.7571,0.9280,3.7449,13.5006,6.5229,20.3431,11.2273
12.5212,5.9781,20.4993,5.8148,12.2120,0.2839,3.9207,25.0037,4.4384,21.8419,23.8390
10.2264,13.1870,15.8139,5.5369,10.6192,2.0596,3.0444,9.2451,15.1094,13.5193,16.7521
7.1558,12.4339,6.0869,15.4093,10.3923,2.8662,3.1545,26.2373,5.8185,20.3681,25.7748
6.3563,11.7704,9.1727,12.9061,9.8305,3.3733,4.7531,23.8878,4.5003,19.0895,25.0063
12.7835,4.1621,19.7463,1.4940,14.3068,2.8934,0.8655,12.6866,13.5685,16.7516,18.4296
8.7429,11.3912,8.1988,10.3490,12.0735,0.7009,5.8766,13.6588,15.8293,16.4918,16.3944
8.3006,10.8051,16.4778,4.0007,16.6306,2.8620,4.7112,29.6137,8.9186,19.8593,40.2772
10.4568,8.7342,14.2066,11.9118,13.2060,0.4695,3.4380,6.7460,12.2763,8.2954,13.4267
7.3175,10.2310,7.9137,14.3634,9.2704,3.3201,4.5412,9.2298,11.4766,7.3651,17.7214
8.9260,10.2284,7.6152,1.7048,15.9311,2.9203,5.7456,6.8737,13.2564,6.3448,21.3873
6.7368,12.5140,6.9952,13.9282,5.0557,2.5931,0.5840,20.6996,5.7165,19.2808,17.0475
13.5852,14.3686,17.9498,1.6008,14.5944,3.5752,0.9060,13.8702,8.2362,21.0189,16.1858
9.8450,11.8432,6.6851,10.6639,6.1492,3.2629,5.8852,7.9912,12.2287,7.1687,16.3262
15.7720,4.7258,19.7183,15.1520,6.8121,2.0601,5.8261,14.7671,8.6513,13.7813,15.8599
8.2840,12.0464,8.1978,18.0969,3.6284,3.9971,1.9028,11.0319,9.6219,13.1435,11.0186
9.0373,12.4686,9.5670,12.9072,13.8915,2.6514,1.7659,31.4323,6.1219,19.2295,36.9562
8.2288,9.1645,12.8535,15.5427,12.3080,3.0759,0.5844,30.5811,8.3618,19.4826,35.4218
10.0463,8.6566,14.2961,10.5529,5.9731,3.1963,3.9111,14.6379,11.2611,15.6505,17.1373
9.1480,10.0912,9.2053,15.5373,4.8340,1.5612,3.2534,21.3426,6.3782,19.7194,16.2627
27.8730,6.7866,21.6142,13.7184,7.0997,3.7894,2.4426,6.3043,12.2668,8.8514,11.2922
15.6422,11.5289,12.7210,16.3013,6.8691,2.7942,1.6882,19.2819,5.3501,19.9891,14.2235
11.3024,13.0218,14.5885,1.4623,17.2852,0.5477,5.0040,6.0198,10.1749,8.7368,16.6840
11.3102,8.0350,17.4958,18.5713,4.7880,3.4021,4.4308,26.7955,5.6016,19.6399,26.2909
8.1148,13.2956,7.7508,12.2335,11.6613,2.6536,4.8785,14.6925,12.0564,17.2633,16.8585
14.4805,11.0437,15.7467,4.3988,17.9219,3.0229,5.0473,15.0088,15.2408,15.1229,26.2480
7.8103,11.4629,9.2872,16.9494,6.0515,2.3371,3.7404,8.7590,11.9667,7.6660,14.7707
31.0427,5.6318,20.8721,1.8405,15.7065,3.5786,0.8408,31.7000,9.9126,19.2742,41.1396
21.1151,5.0098,20.6777,5.2531,15.4686,2.9088,4.8677,8.8318,12.8508,9.4828,19.5277
21.5167,5.8957,19.9765,12.3491,7.4166,2.2727,2.1395,9.9527,11.9819,9.2699,15.4020
8.9190,13.8910,9.5474,11.4315,11.4409,2.3507,2.4748,7.8143,10.7535,8.5257,15.6743
21.7263,9.3379,20.7715,4.9066,18.9902,3.1117,0.3931,6.9625,12.5522,9.7994,18.3314
26.5375,9.6739,21.5881,14.2304,1.0747,2.8320,2.7531,24.1014,6.0501,19.4618,21.2166
14.5335,7.9052,19.4765,4.2339,14.9323,0.6020,4.2544,15.6944,11.1380,12.3285,25.2031
8.8544,12.2152,14.4259,10.8518,13.6738,2.5877,0.4898,27.6999,9.5011,19.3378,34.3556
26.8781,9.4618,21.0296,7.1129,13.9222,2.5959,3.8350,11.1343,13.7570,15.6576,15.7138
17.4205,5.1327,19.3115,6.5200,14.8348,3.0921,4.9431,9.7158,13.2834,9.1698,21.2056
7.7799,12.9831,8.5392,3.5225,14.3686,3.4893,2.4050,8.4837,12.0615,9.4591,20.0657
7.6245,13.3641,9.7240,11.0858,10.9243,2.9255,3.0547,8.2099,13.6518,6.2571,20.6597
8.4310,13.7284,6.6022,17.3725,6.3985,0.9427,3.2968,22.4881,7.7314,20.2184,17.9910
26.9882,4.2507,20.0267,1.6990,15.6616,2.3063,5.5652,8.5539,14.2105,16.6495,11.2776
26.6478,9.4398,21.9604,1.0698,17.7325,3.1386,3.1251,7.4832,13.5066,8.7095,21.3804
28.2814,7.7122,21.1181,14.3314,8.2813,3.4219,0.8893,15.0565,6.3596,19.8965,9.2537
9.3391,10.4924,6.1637,10.8301,10.9085,2.3742,5.2565,25.7866,5.6823,21.9210,23.7681
6.6767,12.2004,9.0032,6.4304,11.7671,3.4276,1.7596,8.8589,10.4928,15.7144,11.3217
6.4167,13.0763,9.8445,15.3764,5.8682,2.3107,0.3207,6.2421,12.6718,8.1354,11.5543
17.8311,5.9762,19.5157,12.5682,11.4052,3.7252,4.1016,18.7111,7.9682,20.5500,17.5467
8.1686,10.8978,15.1431,14.7439,3.0621,1.4922,4.1779,18.4247,5.4230,21.4573,11.2490
15.0906,9.9194,12.3849,10.0949,12.7939,2.1654,4.6781,13.5602,11.4528,17.0039,14.8960
27.1105,5.0103,20.9490,5.2272,18.4481,3.0747,0.5438,10.7362,12.7344,12.7927,18.4351
9.0159,9.3740,12.4614,15.5406,3.8957,0.3947,5.4124,8.9352,12.9351,7.0514,14.3200
7.1704,11.8669,7.3691,16.7582,5.7102,3.8177,5.9056,10.1988,9.3349,17.4241,6.3617
6.3753,12.0021,6.1728,7.3717,14.7971,2.3945,3.2617,21.5811,4.5612,20.9021,21.0344
6.8272,11.3748,9.6684,14.4469,5.8460,1.3154,5.9160,13.4858,9.8724,15.2127,12.7947
9.5537,10.1451,6.0931,6.6687,18.9179,2.5861,3.0198,16.6477,7.3880,20.9760,15.6570
9.9883,10.7032,15.1428,6.8111,14.8703,3.6377,4.7972,17.7506,4.2925,20.1419,19.0470
10.9461,14.7582,15.9928,17.9252,1.4608,2.7252,2.7124,8.1301,10.7469,6.2054,15.5270
9.1672,10.6051,8.0129,1.1695,14.8151,2.0509,4.1217,28.8005,6.5201,20.2656,34.4708
11.0070,14.4640,15.8939,10.1999,11.2669,3.0908,3.3648,8.3505,15.6410,17.1063,11.9696
13.5985,8.5814,21.1271,5.4912,11.0657,2.4885,4.3205,9.6852,10.0642,6.3886,23.1342
6.8115,10.0889,8.6571,11.0468,9.8683,3.0870,4.4059,31.5531,4.5002,21.7523,32.9502
8.2824,11.2460,6.5482,8.9673,11.4391,2.3145,0.7505,8.1133,13.5680,8.8517,15.9809
15.4266,9.5848,13.3669,5.1220,15.2682,0.6674,5.5231,7.1363,11.5451,6.5364,17.9168
9.1566,12.2265,6.6191,16.1067,4.5771,3.3120,5.3200,7.8093,12.8961,7.5784,14.0524
15.2406,8.4449,15.1915,14.2850,2.8649,3.9508,0.7227,17.3733,6.7446,19.9117,12.0418
7.7772,13.8936,7.4802,6.7475,14.5801,2.5057,3.9999,7.8709,13.2235,7.7940,20.0136
7.3006,12.7668,7.5284,8.3077,12.3157,0.4543,3.1322,9.5766,10.0979,9.7980,15.4969
8.6550,10.6355,9.1435,6.1814,10.7168,3.7384,3.4057,8.2714,13.5522,15.5022,11.6000
7.2046,11.9747,7.6194,7.6296,14.3049,3.5753,4.5305,11.1593,9.8328,15.8072,14.8618
18.6914,7.4431,21.4537,7.2468,10.0015,2.1516,3.2820,23.3443,5.1844,21.3222,22.5327
8.0979,8.8178,12.0271,14.2335,7.4571,2.7618,4.7500,6.9906,12.1164,6.8852,14.7265
8.5465,8.5369,12.8671,6.8951,13.5600,3.2859,5.6232,8.8666,11.8773,9.1097,19.7162
10.6442,13.3662,15.0873,14.9259,12.1250,0.8249,4.9303,12.0582,9.4901,21.3972,6.6372
13.9815,9.4113,21.6770,15.4592,6.1399,2.9148,3.2434,8.8247,12.6814,6.3145,19.3069
8.6585,12.2847,6.5668,6.5834,14.5181,1.0442,3.0229,10.9103,9.8748,16.1139,11.6348
6.1662,11.6675,6.0717,13.7915,8.3545,1.4725,4.0260,9.9351,10.7626,6.5461,17.5345
9.0460,12.7265,8.0411,1.7066,16.3635,1.7715,4.2792,19.3963,6.4416,20.8780,20.6699
25.3427,9.2188,20.7971,11.8976,11.4169,2.1717,5.9905,7.3651,10.6570,7.3482,15.6207
7.5351,10.4191,7.5074,1.1789,17.2465,3.0400,3.8465,7.8185,11.4271,8.5867,20.1673
14.7244,14.7453,13.7633,11.9356,12.0611,2.9245,5.7026,9.1983,12.8327,8.6705,20.0653
13.3305,13.5592,15.9912,8.3892,13.0608,0.2112,3.2632,30.6478,7.2449,19.3541,36.5125
16.6676,4.0580,21.7993,16.1726,2.5576,3.4839,4.3321,13.2394,11.7217,16.2788,11.8715
31.1828,5.0652,20.0946,16.5718,2.2980,2.5028,4.0682,21.4801,4.8304,19.8073,13.6424
8.3255,12.5090,7.6805,17.2156,3.2182,3.2243,4.4687,19.7648,8.2106,21.8029,13.6032
8.5129,10.6086,6.0673,1.4010,14.8254,1.4230,4.5947,19.7564,9.2610,20.4916,21.1445
8.4648,10.7057,8.7182,18.3159,3.5580,0.8774,5.0192,14.8468,10.0864,17.0063,9.9061
11.4466,13.9199,12.5893,11.7710,5.1586,1.4491,4.1204,9.8736,13.5318,7.5536,18.6794
20.9284,6.5931,19.2732,17.0424,3.7288,3.0593,4.4784,8.9705,13.0714,9.6014,12.7007
9.1271,12.3334,7.5859,12.5377,8.4395,2.1042,0.6950,8.0124,12.6688,7.8780,14.7543
12.9395,9.8589,15.5001,14.7606,6.2976,2.5039,5.2325,18.3209,7.2222,19.3591,15.4484
17.8880,7.9312,21.5569,1.7707,14.1484,2.4658,1.9290,9.5665,12.8045,9.1601,22.1988
13.8504,11.0270,13.9725,14.6884,4.5455,2.9968,0.1014,15.8984,6.5939,19.4525,10.4410
14.6479,11.2165,17.4169,14.5801,1.3311,3.4222,5.0285,6.9800,12.4380,8.5734,12.6493
14.2752,8.1402,14.6272,7.1518,13.6261,0.2157,3.6006,27.8518,9.0742,20.2824,30.7063
22.5663,6.4487,19.0233,11.9104,7.9143,2.6052,4.8415,23.4284,7.1628,20.4857,21.6192
16.2958,9.2202,21.6903,17.2461,4.9157,1.2375,5.4466,27.7255,4.9890,19.4955,26.8479
23.3327,6.1587,20.1363,13.5713,10.4986,0.4593,4.4773,6.0626,12.6525,7.1275,11.5402
30.7030,9.7865,19.3384,14.2706,3.1717,0.3175,4.4228,12.3556,12.7689,14.1614,10.1998
14.5738,7.6547,19.2703,8.1776,12.0698,2.2344,4.5912,20.0660,5.7154,20.9541,19.1297
28.0507,5.7741,20.2806,9.5089,12.9132,2.1247,3.1760,14.1053,11.0771,15.9444,15.5937
6.0428,11.2040,6.0061,8.1410,15.9364,2.4670,0.8274,14.4364,9.1240,13.6811,20.0996
27.1999,6.6951,20.9859,5.4693,14.9810,3.4919,3.0670,6.6476,10.0956,9.6043,14.6410
10.8273,15.1379,12.6937,3.3958,15.9065,3.0535,3.2048,9.7498,13.1560,14.9578,18.0013
30.9441,8.4230,21.5680,4.0227,18.0705,2.8064,4.8988,6.6853,12.6513,6.3135,20.6387
24.0990,8.3586,19.9925,14.6046,1.0187,3.2294,3.4202,13.7037,9.8612,21.3094,5.4775
18.9011,4.0299,21.4569,12.0293,9.3742,0.4074,3.7465,8.5636,10.5412,9.5261,11.9220
18.0891,5.6303,20.1415,9.9305,15.6979,2.3399,0.2304,11.5742,14.0431,12.1064,19.3807
13.4441,9.4876,12.7511,3.5735,14.0714,2.3247,1.9699,12.5416,12.5114,16.2960,16.8439
11.7368,11.2245,16.8104,18.2775,1.8313,3.0224,0.6479,14.1844,9.8759,14.1876,14.4529
6.1188,13.7134,7.6332,15.3397,10.9104,0.2915,3.1699,7.1626,13.4486,6.8732,14.5801
27.3822,9.5753,19.8894,18.8198,6.9202,3.3652,3.3444,14.1355,9.5100,21.3618,6.6982
7.1878,12.7902,8.4919,15.5250,12.3261,2.5094,4.8895,19.9933,9.6155,19.5284,20.4796
14.3886,10.8681,17.2705,11.3276,8.6529,3.1090,4.0435,15.4634,7.5128,20.4082,12.8877
8.1412,13.1751,7.9578,14.0192,6.0979,2.3881,4.2672,7.8563,11.7618,8.5843,13.3885
7.9682,13.7207,7.6002,7.6426,13.3692,2.6921,3.4615,14.8578,13.3865,12.5699,24.6011
21.4058,5.4311,19.7123,5.6798,14.4950,2.0395,3.2304,23.9971,5.5930,21.5289,23.8552
8.0720,12.1952,6.0304,14.9573,3.5781,3.8590,4.9283,27.7202,9.6448,19.0814,29.8667
6.9265,11.0311,6.3398,13.5178,8.0200,0.1986,3.9951,6.6200,11.5416,6.0192,12.1436
28.9729,8.1681,19.3031,17.0724,2.7087,3.1040,2.3878,10.5735,15.9418,15.7062,8.4225
9.9815,13.0824,7.9833,3.8096,16.6073,2.9055,4.8955,9.9782,13.5530,9.0394,23.4732
7.8000,13.7126,9.5640,15.4106,2.7111,3.9326,1.6538,6.9884,10.7183,9.1446,11.1528
25.0027,9.9754,19.5734,6.1814,15.0395,1.5833,3.5172,21.3084,4.6820,21.1657,20.3042
8.6546,12.8986,7.0365,15.1407,4.7511,3.9151,0.3575,11.9475,13.5783,16.8124,10.9806
9.8985,10.9391,9.0388,11.3192,12.9439,3.9621,4.3881,27.2829,6.1367,20.2653,30.6640
7.8518,13.6850,7.9803,2.1694,15.9191,3.0043,2.0777,9.3659,11.4090,14.1892,16.3805
6.7906,10.5798,6.7380,17.7558,4.1453,3.2831,4.8696,8.4224,11.7492,7.2236,14.0258
6.0335,11.0615,6.9791,11.8150,7.5016,2.4969,2.9168,19.9475,9.7055,21.8901,16.2449
9.0535,13.3158,15.8503,14.7614,5.4358,3.0107,4.2962,20.5881,4.4887,21.1083,17.3526
20.1782,6.6878,20.7918,2.5876,18.5830,0.0090,5.7934,11.1958,13.9520,17.0209,15.2665
6.4404,12.9041,7.5704,4.3205,17.3371,3.6231,4.1916,8.7654,12.3405,8.5601,22.6645
7.3902,10.4277,9.3698,5.0482,14.5749,2.7313,3.0368,11.4896,14.9121,17.4937,15.6450
15.5621,9.8811,13.9203,5.6330,11.7648,3.8918,0.5317,7.4003,13.0553,8.6265,17.8308
12.4912,10.0512,14.7833,6.3726,13.7349,3.2132,4.5245,7.2749,10.0336,8.8367,17.1690
13.4352,13.0380,12.3291,17.6187,1.2454,2.3664,5.2886,23.9621,9.8008,20.3439,21.3066
17.7283,8.3455,21.6180,14.8723,2.6067,2.9436,5.2576,17.8537,8.9224,19.6888,14.7616
24.4710,4.6015,21.8216,16.9237,1.7231,2.5940,0.2383,6.6310,13.8862,8.0907,9.1652
9.2779,10.3287,9.3202,14.3171,5.0993,2.7137,3.3391,12.7227,6.0467,20.6626,3.9134
15.1862,9.9726,16.3937,12.8815,10.3092,0.4395,5.8569,12.1067,9.9154,20.8623,5.8958
24.8868,5.4570,19.4116,2.6712,14.1658,3.2787,4.0243,11.4109,8.7066,14.3666,15.8532
9.3388,13.6795,6.8746,3.3605,16.8081,3.8902,3.2275,6.0459,11.9599,8.4018,18.4561
7.2572,13.9327,6.4359,10.3074,8.1235,0.5947,5.2793,23.6965,8.5745,21.7005,21.2234
7.1991,12.9148,6.7396,12.7832,11.7983,1.3254,4.2842,15.4951,14.8551,17.6328,17.2895
14.0597,15.6033,14.6177,5.4248,15.3126,2.7563,4.1243,26.0255,8.2936,21.4571,32.0107
8.4545,9.3666,16.3092,3.5859,17.3546,3.7696,3.1972,20.7439,5.4499,21.0832,24.7340
12.9586,10.3521,16.6107,5.3805,14.1500,2.1635,1.5145,10.0981,10.2149,13.6442,15.7280
10.3816,9.0235,16.7396,4.8043,17.0825,2.6019,5.2571,21.6026,9.4924,20.4043,27.1280
8.7914,12.3096,7.0643,18.1281,2.8646,2.0080,5.8725,12.9561,11.0033,12.7281,13.1391
27.8962,7.0074,19.7871,1.2458,15.4308,2.8265,5.7843,19.1067,8.5056,19.5908,22.2113
17.3619,6.8759,21.3361,6.8555,10.9189,3.5898,0.3372,25.9603,5.7482,19.3684,30.0866
18.2928,5.6730,20.8781,16.5131,4.4391,0.6222,4.4172,31.6338,5.7556,20.2800,29.9095
12.1634,6.6523,19.0127,6.1506,16.4070,2.5803,4.7952,14.2341,12.1300,15.8247,21.3945
8.0739,14.1941,12.0208,11.7148,11.5006,3.2169,3.5768,28.0958,9.1962,21.9277,32.0763
9.9050,12.0819,7.4679,8.5608,11.9007,3.0592,3.9591,17.1573,7.2741,21.3552,14.4895
8.6629,12.5167,9.2935,13.9381,9.3771,2.6351,2.4689,9.5815,8.6109,16.5858,6.9685
7.6658,10.0634,8.9692,11.3888,8.1013,2.4774,4.8391,8.6628,12.9124,7.9098,16.8250
10.5566,11.9711,14.3985,14.8464,5.6871,2.4842,5.9319,11.6740,9.0651,17.8086,8.6917
8.8481,13.4956,6.5673,17.4492,4.8152,2.8945,2.2451,11.1669,15.5187,15.0581,11.3778
6.9860,10.9135,6.8229,10.2399,9.6818,1.2816,3.2381,9.0980,13.7564,7.4824,17.6466
7.0369,10.6115,7.8123,6.7490,12.6215,2.1821,4.7063,9.6356,11.4181,8.1314,19.8019
11.6448,13.1370,16.4409,11.4947,12.3237,3.2459,4.2076,6.2702,12.7184,9.5365,15.7194
30.7723,7.7969,19.0885,17.9070,3.1374,3.4248,4.2064,14.4770,8.6734,16.6273,9.8892
9.2604,9.0521,17.8983,6.1300,15.6555,3.8157,3.7311,28.7459,8.7692,19.9893,38.3157
16.3073,6.0966,19.9290,6.0395,15.1532,2.1885,0.0342,20.9944,4.2749,19.5583,21.7706
8.8713,11.8611,7.8986,8.9224,12.6036,2.4531,2.1681,13.1981,8.0252,21.5125,8.3519
20.5853,7.7777,20.6138,13.3588,7.4933,2.6956,2.2440,8.6909,13.2306,9.5754,14.7803
11.2902,12.5219,17.4404,12.0363,7.6245,2.7239,4.8289,8.5040,11.2192,8.2237,17.7708
12.8815,10.9213,14.1055,4.4033,15.8641,3.0115,5.0307,26.0998,7.1644,19.9419,32.7431
21.1419,4.9256,19.7189,14.7277,10.3695,2.8388,3.3944,15.5313,8.7375,21.7039,9.3602
30.7198,4.4045,21.4655,11.3712,7.8239,1.8233,4.2796,9.2842,13.1218,8.1264,15.0854
8.1337,13.7370,8.1805,9.9342,15.5604,2.4271,4.7481,8.4755,14.0498,14.7577,13.2821
7.5232,10.2901,7.9612,14.8356,9.3710,3.3227,0.3474,21.2385,6.6610,20.1816,18.6208
6.9354,12.1821,6.5407,17.6446,3.4879,1.1859,4.3514,29.2621,8.4597,20.9874,26.5523
